"","before","after","ord","method","imp","rn","dat$before"
"1","Copy.initial.in.diagram","Draw.smaller.bar....multiplication","2","LASSO","83","5","Copy.initial.in.diagram"
"2","Copy.initial.in.diagram","Enter.larger.inital.in.diagram....calculated","1","BOTH","90","4","Copy.initial.in.diagram"
"3","Copy.initial.in.diagram","Enter.total.in.diagram...calculated...addition","2","LASSO","50","12","Copy.initial.in.diagram"
"4","Copy.initial.in.diagram","Draw.larger.bar....addition.subtraction","1","BOTH","300","1","Copy.initial.in.diagram"
"5","Copy.initial.in.diagram","Enter.quantity.from.diagram.by.reading","2","LASSO","70","9","Copy.initial.in.diagram"
"6","Copy.initial.in.diagram","Enter.larger.initial.in.diagram....given","2","LASSO","59","11","Copy.initial.in.diagram"
"7","Copy.initial.in.diagram","Enter.quantity.from.diagram.by.calculating","1","BOTH","111","3","Copy.initial.in.diagram"
"8","Copy.initial.in.diagram","Enter.added.quantity.in.diagram","2","LASSO","71","8","Copy.initial.in.diagram"
"9","Copy.initial.in.diagram","Enter.smaller.initial.in.diagram....given","2","LASSO","65","10","Copy.initial.in.diagram"
"10","Copy.initial.in.diagram","Enter.initial.in.diagram....given","2","LASSO","82","6","Copy.initial.in.diagram"
"11","Draw.larger.bar....addition.subtraction","Identify.larger.quantity....addition","2","LASSO","53","11","Draw.larger.bar....addition.subtraction"
"12","Draw.larger.bar....addition.subtraction","Enter.added.quantity.in.diagram","2","LASSO","66","9","Draw.larger.bar....addition.subtraction"
"13","Draw.larger.bar....addition.subtraction","Enter.total.in.diagram...calculated...addition","2","LASSO","76","4","Draw.larger.bar....addition.subtraction"
"14","Draw.larger.bar....addition.subtraction","Enter.larger.initial.in.diagram....given","2","LASSO","65","10","Draw.larger.bar....addition.subtraction"
"15","Draw.larger.bar....addition.subtraction","Enter.smaller.initial.in.diagram....given","2","LASSO","67","6","Draw.larger.bar....addition.subtraction"
"16","Draw.larger.bar....addition.subtraction","Identify.larger.quantity....subtraction","2","LASSO","52","12","Draw.larger.bar....addition.subtraction"
"17","Draw.larger.bar....addition.subtraction","Identify.larger.quantity....multiplication","2","LASSO","67","8","Draw.larger.bar....addition.subtraction"
"18","Draw.larger.bar....addition.subtraction","Enter.larger.inital.in.diagram....calculated","1","BOTH","103","2","Draw.larger.bar....addition.subtraction"
"19","Draw.larger.bar....addition.subtraction","Draw.smaller.bar....multiplication","2","LASSO","73","5","Draw.larger.bar....addition.subtraction"
"20","Draw.larger.bar....addition.subtraction","Enter.total.in.diagram...calculated...subtraction","2","LASSO","67","7","Draw.larger.bar....addition.subtraction"
