"","before","after","ord","method","imp","rn"
"1","KC01","KC02",1,"BOTH",123,1
"2","KC01","KC03",1,"BOTH",51,2
"3","KC01","KC31",2,"LASSO",22,3
"4","KC01","KC05",2,"LASSO",21,4
"241","KC01","KC13",4,"RF",9,NA
"242","KC01","KC16",4,"RF",18,NA
"243","KC01","KC12",4,"RF",20,NA
"244","KC01","KC21",4,"RF",15,NA
"245","KC01","KC08",4,"RF",21,NA
"246","KC01","KC30",4,"RF",21,NA
"5","KC02","KC01",1,"BOTH",150,1
"6","KC02","KC03",1,"BOTH",67,2
"7","KC02","KC35",2,"LASSO",29,3
"8","KC02","KC05",2,"LASSO",20,4
"9","KC02","KC08",2,"LASSO",20,5
"10","KC02","KC24",3,"RF",40,6
"247","KC02","KC30",4,"RF",13,NA
"248","KC02","KC33",4,"RF",21,NA
"249","KC02","KC16",4,"RF",15,NA
"250","KC02","KC07",4,"RF",13,NA
"11","KC03","KC02",1,"BOTH",67,1
"12","KC03","KC24",1,"BOTH",62,2
"13","KC03","KC01",1,"BOTH",56,3
"14","KC03","KC05",2,"LASSO",21,4
"15","KC03","KC35",3,"RF",53,5
"251","KC03","KC16",4,"RF",21,NA
"252","KC03","KC12",4,"RF",25,NA
"253","KC03","KC27",4,"RF",28,NA
"254","KC03","KC23",4,"RF",11,NA
"255","KC03","KC09",4,"RF",24,NA
"16","KC04","KC07",1,"BOTH",101,1
"17","KC04","KC06",1,"BOTH",98,2
"18","KC04","KC05",1,"BOTH",69,3
"19","KC04","KC03",2,"LASSO",33,4
"20","KC04","KC02",2,"LASSO",25,5
"21","KC04","KC01",2,"LASSO",23,6
"256","KC04","KC32",4,"RF",18,NA
"257","KC04","KC10",4,"RF",15,NA
"258","KC04","KC22",4,"RF",14,NA
"259","KC04","KC30",4,"RF",12,NA
"22","KC05","KC07",1,"BOTH",108,1
"23","KC05","KC06",1,"BOTH",72,2
"24","KC05","KC04",1,"BOTH",62,3
"25","KC05","KC02",2,"LASSO",33,4
"26","KC05","KC35",2,"LASSO",32,5
"27","KC05","KC03",2,"LASSO",30,6
"28","KC05","KC01",2,"LASSO",23,7
"29","KC05","KC24",2,"LASSO",23,8
"30","KC05","KC19",2,"LASSO",18,9
"31","KC05","KC28",2,"LASSO",18,10
"32","KC06","KC07",1,"BOTH",260,1
"33","KC06","KC04",1,"BOTH",122,2
"34","KC06","KC05",1,"BOTH",80,3
"35","KC06","KC35",2,"LASSO",38,4
"36","KC06","KC24",3,"RF",47,5
"37","KC06","KC03",3,"RF",39,6
"260","KC06","KC21",4,"RF",24,NA
"261","KC06","KC26",4,"RF",22,NA
"262","KC06","KC12",4,"RF",21,NA
"263","KC06","KC32",4,"RF",24,NA
"38","KC07","KC06",1,"BOTH",226,1
"39","KC07","KC04",1,"BOTH",181,2
"40","KC07","KC05",1,"BOTH",162,3
"41","KC07","KC03",1,"BOTH",44,4
"42","KC07","KC01",1,"BOTH",38,5
"43","KC07","KC17",2,"LASSO",22,6
"44","KC07","KC24",3,"RF",46,7
"45","KC07","KC35",3,"RF",40,8
"264","KC07","KC33",4,"RF",26,NA
"265","KC07","KC22",4,"RF",21,NA
"46","KC08","KC13",1,"BOTH",76,1
"47","KC08","KC12",1,"BOTH",74,2
"48","KC08","KC10",1,"BOTH",63,3
"49","KC08","KC09",1,"BOTH",55,4
"50","KC08","KC11",1,"BOTH",52,5
"266","KC08","KC29",4,"RF",16,NA
"267","KC08","KC05",4,"RF",12,NA
"268","KC08","KC21",4,"RF",20,NA
"269","KC08","KC06",4,"RF",8,NA
"270","KC08","KC26",4,"RF",14,NA
"51","KC09","KC12",1,"BOTH",137,1
"52","KC09","KC13",1,"BOTH",107,2
"53","KC09","KC10",1,"BOTH",95,3
"54","KC09","KC11",1,"BOTH",83,4
"55","KC09","KC08",1,"BOTH",61,5
"56","KC09","KC01",2,"LASSO",36,6
"57","KC09","KC35",3,"RF",43,7
"58","KC09","KC03",3,"RF",42,8
"59","KC09","KC24",3,"RF",42,9
"60","KC09","KC02",3,"RF",39,10
"61","KC10","KC12",1,"BOTH",97,1
"62","KC10","KC09",1,"BOTH",86,2
"63","KC10","KC13",1,"BOTH",86,3
"64","KC10","KC11",1,"BOTH",84,4
"65","KC10","KC08",1,"BOTH",53,5
"66","KC10","KC03",1,"BOTH",47,6
"67","KC10","KC35",3,"RF",44,7
"68","KC10","KC24",3,"RF",43,8
"271","KC10","KC30",4,"RF",21,NA
"272","KC10","KC16",4,"RF",23,NA
"69","KC11","KC13",1,"BOTH",86,1
"70","KC11","KC12",1,"BOTH",82,2
"71","KC11","KC10",1,"BOTH",74,3
"72","KC11","KC09",1,"BOTH",69,4
"73","KC11","KC08",1,"BOTH",46,5
"74","KC11","KC27",2,"LASSO",22,6
"273","KC11","KC35",4,"RF",37,NA
"274","KC11","KC16",4,"RF",20,NA
"275","KC11","KC31",4,"RF",18,NA
"276","KC11","KC32",4,"RF",20,NA
"75","KC12","KC13",1,"BOTH",123,1
"76","KC12","KC09",1,"BOTH",107,2
"77","KC12","KC10",1,"BOTH",97,3
"78","KC12","KC11",1,"BOTH",85,4
"79","KC12","KC08",1,"BOTH",61,5
"80","KC12","KC03",1,"BOTH",44,6
"81","KC12","KC01",1,"BOTH",39,7
"82","KC12","KC24",3,"RF",46,8
"83","KC12","KC02",3,"RF",41,9
"84","KC12","KC35",3,"RF",39,10
"85","KC13","KC12",1,"BOTH",204,1
"86","KC13","KC09",1,"BOTH",166,2
