"","Calculate.decimal.from.given.improper.fraction","Calculate.decimal.from.given.mixed.number","Calculate.decimal.from.given.percent","Calculate.improper.fraction.from.given.decimal","Calculate.improper.fraction.from.given.mixed.number","Calculate.improper.fraction.from.given.percent","Calculate.numerator.of.mixed.number.from.given.decimal","Calculate.numerator.of.mixed.number.from.given.improper.fraction","Calculate.numerator.of.mixed.number.from.given.model","Calculate.numerator.of.mixed.number.from.given.percent","Calculate.percent.from.given.decimal","Calculate.percent.from.given.improper.fraction","Calculate.percent.from.given.mixed.number","Calculate.whole.number.part.of.mixed.number.from.given.decimal","Calculate.whole.number.part.of.mixed.number.from.given.improper.fraction","Calculate.whole.number.part.of.mixed.number.from.given.model","Calculate.whole.number.part.of.mixed.number.from.given.percent","Enter.decimal.from.given.model","Enter.given.decimal","Enter.given.improper.fraction","Enter.given.percent","Enter.improper.fraction.from.given.model","Enter.numerator.of.given.mixed.number","Enter.percent.from.given.model","Enter.whole.number.part.of.given.mixed.number","Identify.that.a.mixed.number.can.cannot.be.simplified","Identify.that.an.improper.fraction.can.cannot.be.simplified"
"stu_9e461ce83d",1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,0.909090909090909,0.909090909090909
"stu_836edcbeae",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.571428571428571,1,1,1,1,0.956521739130435
"stu_29964c1ba0",0.75,1,0.666666666666667,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375
"stu_88042123ee",1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1
"stu_a94538a92b",0.75,0.625,0.75,1,0.875,1,1,1,1,1,1,1,0.875,1,1,1,1,1,1,1,0.75,1,1,1,1,0.722222222222222,0.722222222222222
"stu_f2a41dfffb",0.8,0.8,0.75,1,0.75,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,0.863636363636364,0.863636363636364
"stu_d1c12ffcec",0.75,1,0.75,0.75,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.928571428571429
"stu_4acaa4d9f6",1,1,1,0.5,1,1,0.5,1,1,1,0.5,1,1,0.5,1,1,1,0.666666666666667,1,1,1,1,1,1,1,0.928571428571429,0.928571428571429
"stu_9d0fdb2540",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.375
"stu_b52bd79d10",0.75,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,0.75,1,1,1,0.75,1,1,1,0.875,0.75
"stu_9c5c85d736",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.625,0.625
"stu_a05c564007",0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875
"stu_c081368e5e",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1
"stu_1bb4b1ab06",1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1
"stu_5802804f1b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_bd558388b8",1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.4,0.6
"stu_8bd0ce0694",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,0.9,0.6
"stu_d4acba0582",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_dd67ec6df1",1,0.714285714285714,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,0.9375
"stu_5a648beccf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_b664ec1b9d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_e88f38594f",1,0.75,1,0.8,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.692307692307692,0.846153846153846
"stu_13b942362c",1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0.75
"stu_34cb7e1a16",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_2e2530c397",1,0.75,0.666666666666667,1,0.6,1,1,1,1,1,0.5,1,0.8,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,0.928571428571429,1
"stu_ce8b1efb64",1,0.75,1,1,1,1,1,1,1,1,0.75,1,0.75,1,1,1,0.75,1,1,1,1,0.8,1,0.6,1,0.888888888888889,0.722222222222222
"stu_b5092a9d3d",1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_1ff81cc54d",1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_ea49cd6f86",1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.777777777777778
"stu_7e9bd90af5",1,1,0.75,1,1,1,0.6,1,1,1,0.833333333333333,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1
