"","Calculate.part.in.proportion.with.fractions","Calculate.total.in.proportion.with.fractions","Choose.operator.in.fractional.identity","Enter.Calculated.value.of.rate","Enter.Calculated.value.of.ratio","Enter.denominator.of.form.of.1","Enter.denominator.of.given.fraction.in.proportion","Enter.denominator.of.given.rate.in.proportion","Enter.denominator.of.given.unit.rate.in.proportion","Enter.given.part.in.proportion","Enter.given.total.in.proportion","Enter.numerator.of.form.of.1","Enter.numerator.of.given.fraction.in.proportion","Enter.numerator.of.given.rate.in.proportion","Enter.numerator.of.given.unit.rate.in.proportion","Enter.part.in.proportion.with.variable","Enter.proportion.label.in.denominator","Enter.proportion.label.in.numerator","Enter.total.in.proportion.with.variable"
"stu_ba54353023",0.8,1,1,0.857142857142857,1,1,0.625,0.666666666666667,1,0.6,0.6,0.933333333333333,0.375,1,0.25,0.8,0.8,0.466666666666667,0.6
"stu_9b100d1d39",0.333333333333333,1,1,0.9,0.833333333333333,0.5,0.833333333333333,0.75,0.75,0.833333333333333,0.777777777777778,0.230769230769231,0.5,0.75,0.25,0.5,1,1,0.5
"stu_2d82395b87",1,0.8,1,1,1,0.875,1,1,1,1,0.833333333333333,0.916666666666667,0.666666666666667,1,1,0.666666666666667,0.916666666666667,0.916666666666667,1
"stu_9e86e1a742",0.833333333333333,1,1,1,1,0.818181818181818,0.571428571428571,1,1,0.857142857142857,0.833333333333333,0.833333333333333,0.666666666666667,1,1,0.8,1,0.846153846153846,0.857142857142857
"stu_c44bf8f2a3",0.875,1,1,1,1,1,0.75,0.75,1,1,1,0.909090909090909,1,1,1,1,0.818181818181818,0.818181818181818,1
"stu_f691bdd811",0.75,0.714285714285714,1,1,1,0.75,0.833333333333333,0.75,1,0.75,1,0.846153846153846,0.5,0.75,1,0.714285714285714,0.933333333333333,0.8,0.625
"stu_552b295fa5",0.818181818181818,1,1,1,0.875,0.941176470588235,0.571428571428571,1,0.833333333333333,1,0.6,1,0.6,0.666666666666667,0.4,0.5,1,0.941176470588235,0.666666666666667
"stu_b850b3a813",1,1,1,1,1,0.888888888888889,1,0.666666666666667,0.666666666666667,1,1,1,0.333333333333333,0.666666666666667,1,0.6,0.888888888888889,0.888888888888889,0.75
"stu_cf8aa6b92b",0.75,1,1,1,1,0.777777777777778,0.5,1,0.666666666666667,0.8,1,1,0.666666666666667,1,1,1,0.666666666666667,0.777777777777778,0.6
"stu_b75f44e650",0.714285714285714,0.714285714285714,1,1,0.888888888888889,0.7,0.555555555555556,1,1,1,0.875,0.722222222222222,0.333333333333333,0.5,0.666666666666667,0.875,0.941176470588235,0.9375,0.833333333333333
"stu_bbb48a3dc9",0,0.25,1,1,1,0.8,0.6,0.428571428571429,1,0.3,0.666666666666667,0.166666666666667,0.75,0.166666666666667,0,0.75,1,0.666666666666667,0.888888888888889
"stu_ddf73db3fd",0.875,1,1,1,1,1,0.75,1,1,1,0.9,1,0.428571428571429,0.666666666666667,0.6,0.888888888888889,0.875,0.8125,0.8
"stu_1c32d03c39",1,0.75,1,1,1,0.875,0.666666666666667,1,0.666666666666667,1,1,0.714285714285714,0.666666666666667,1,0.666666666666667,1,1,1,0.75
"stu_63f6000c73",1,0.8,1,0.857142857142857,0.833333333333333,0.833333333333333,0.875,0.75,1,0.8,0.714285714285714,0.4375,0.285714285714286,0.75,1,0.714285714285714,0.9375,0.875,1
"stu_d7acba4315",0.666666666666667,1,1,1,1,0.928571428571429,1,1,0.6,1,0.888888888888889,0.933333333333333,0.6,0.75,1,0.625,0.933333333333333,0.933333333333333,0.8
"stu_a27ef03c3c",0.75,1,1,1,1,1,1,1,0.666666666666667,1,1,1,0.5,1,0.666666666666667,0.75,1,0.857142857142857,1
"stu_f8bd0d2db5",0.818181818181818,0.6,1,0.714285714285714,0.875,0.733333333333333,1,1,0.2,0.75,0.727272727272727,0.875,0.142857142857143,0.5,0.833333333333333,0.636363636363636,0.875,0.9375,1
"stu_ffcbfa70d7",1,0.75,1,0.888888888888889,0.857142857142857,0.866666666666667,0.666666666666667,0.666666666666667,0.8,0.875,1,0.866666666666667,0.428571428571429,1,0.75,1,1,0.8125,1
"stu_6706688e81",0.714285714285714,0.777777777777778,1,0.833333333333333,1,0.785714285714286,0.7,0.666666666666667,1,0.888888888888889,0.857142857142857,0.933333333333333,0.2,0.666666666666667,0.666666666666667,0.714285714285714,0.9375,0.9375,0.444444444444444
"stu_d0757edc86",0.75,1,1,1,1,0.916666666666667,0.857142857142857,1,1,0.8,0.875,1,0.428571428571429,1,1,0.875,1,0.916666666666667,0.5
"stu_12ce321eb9",1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,1,0.909090909090909,1,0.666666666666667
"stu_3a340760ee",1,1,1,0.75,1,0.833333333333333,1,1,0.666666666666667,0.75,1,1,0.5,1,0.666666666666667,1,1,1,0.5
"stu_33cedc75a7",0.875,1,1,1,1,0.923076923076923,1,1,1,1,1,1,0.5,1,1,1,1,1,1
"stu_f1113c035c",0.833333333333333,0.8,1,0.888888888888889,0.857142857142857,0.8125,0.571428571428571,1,0.666666666666667,0.727272727272727,0.833333333333333,0.875,0.25,1,0.666666666666667,0.666666666666667,0.941176470588235,0.882352941176471,0.818181818181818
"stu_cf4625acc4",0.625,0.8,1,1,1,0.916666666666667,0.75,1,0.5,1,0.888888888888889,0.6875,0.5,1,1,0.888888888888889,0.9375,0.8125,1
"stu_20b528a497",0.5,0.5,1,1,0.75,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.272727272727273,0.4,0.142857142857143,1,0.25,0.818181818181818,0.705882352941177,0.647058823529412,0.8
"stu_959923ec5c",0.8,1,1,1,0.75,0.888888888888889,0.75,1,0.5,1,1,0.8,0.25,0.666666666666667,1,0.6,1,0.8,0.75
"stu_567576cb94",1,0.75,1,1,1,1,0.5,1,1,1,1,1,0.333333333333333,0.5,1,1,0.75,0.75,1
"stu_b5751e2053",0.857142857142857,1,1,1,1,1,0.9,1,1,1,0.875,0.6875,0.363636363636364,1,1,0.857142857142857,1,0.8125,0.777777777777778
"stu_6f0e94623c",0.75,1,1,1,1,0.8,1,1,1,0.833333333333333,1,0.923076923076923,0.75,0.8,0.8,0.75,1,1,0.833333333333333
