student,Enter.denominator.of.given.rate.in.proportion,Enter.numerator.of.given.rate.in.proportion,Enter.Calculated.value.of.rate,Enter.total.in.proportion.with.variable,Enter.given.part.in.proportion,Enter.proportion.label.in.denominator,Enter.proportion.label.in.numerator,Calculate.total.in.proportion.with.fractions,Choose.operator.in.fractional.identity,Enter.denominator.of.given.unit.rate.in.proportion,Enter.given.total.in.proportion,Enter.numerator.of.form.of.1,Enter.denominator.of.form.of.1,Enter.part.in.proportion.with.variable,Enter.numerator.of.given.unit.rate.in.proportion,Enter.numerator.of.given.fraction.in.proportion,Enter.Calculated.value.of.ratio,Enter.denominator.of.given.fraction.in.proportion,Calculate.part.in.proportion.with.fractions
stu_ba54353023,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
stu_9b100d1d39,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
stu_2d82395b87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stu_9e86e1a742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
stu_c44bf8f2a3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stu_f691bdd811,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_552b295fa5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
stu_b850b3a813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
stu_cf8aa6b92b,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
stu_b75f44e650,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
stu_bbb48a3dc9,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
stu_ddf73db3fd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
stu_1c32d03c39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stu_63f6000c73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_d7acba4315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
stu_a27ef03c3c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_f8bd0d2db5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
stu_ffcbfa70d7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_6706688e81,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_d0757edc86,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_12ce321eb9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stu_3a340760ee,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_33cedc75a7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_f1113c035c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
stu_cf4625acc4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
stu_20b528a497,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
stu_959923ec5c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
stu_567576cb94,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
stu_b5751e2053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_6f0e94623c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stu_8be3d8e138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_36282dbe42,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
stu_e59e73f573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_66064ad725,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
stu_599382196a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
stu_503b116b86,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
stu_6bb43036ad,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
stu_8955abff61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
stu_a65ee4f46a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_f9b4acb7bc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
stu_c0f3f26da3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
stu_0fac44274f,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
stu_d02d9da241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
stu_f860653782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stu_02f4a0118f,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
stu_bbb48a3dc9.1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
stu_6eed4e0f99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_b8c3a2ee2b,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_5358ad2e70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_125958acea,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stu_1c16fba4b5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
stu_a3eaea786f,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_1534fd0e18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_20eb4dd0fd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_1bb4b1ab06,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
stu_a781da86f3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stu_007f490b97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_95eca26c16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
stu_31974f345f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
