knowre_user_id,kc_uid,accuracy
56,KC01,0
56,KC02,0
56,KC03,0
56,KC04,0
56,KC05,0
56,KC06,0
56,KC07,0
56,KC08,1
56,KC09,1
56,KC10,1
56,KC11,0
56,KC12,1
56,KC13,1
56,KC16,0
56,KC17,0
56,KC19,0
56,KC20,0
56,KC21,0
56,KC22,0
56,KC23,0
56,KC24,0
56,KC26,0
56,KC27,0
56,KC28,0
56,KC29,0
56,KC30,1
56,KC31,1
56,KC32,1
56,KC33,1
56,KC34,1
56,KC35,1
159,KC01,1
159,KC02,0
159,KC03,0
159,KC04,0
159,KC05,0
159,KC06,1
159,KC07,1
159,KC08,1
159,KC09,1
159,KC10,0
159,KC11,1
159,KC12,0
159,KC13,1
159,KC16,1
159,KC17,1
159,KC19,1
159,KC20,1
159,KC21,1
159,KC22,1
159,KC23,1
159,KC24,1
159,KC26,1
159,KC27,1
159,KC28,1
159,KC29,0
159,KC30,0
159,KC31,1
159,KC32,0
159,KC33,0
159,KC34,1
159,KC35,1
163,KC01,1
163,KC02,0
163,KC03,0
163,KC04,0
163,KC05,1
163,KC06,0
163,KC07,0
163,KC08,0
163,KC09,1
163,KC10,0
163,KC11,0
163,KC12,0
163,KC13,0
163,KC16,0
163,KC17,0
163,KC19,0
163,KC20,0
163,KC21,0
163,KC22,0
163,KC23,0
163,KC24,0
163,KC26,0
163,KC27,0
163,KC28,0
163,KC29,0
163,KC30,0
163,KC31,0
163,KC32,0
163,KC33,0
163,KC34,0
163,KC35,0
177,KC01,1
177,KC02,1
177,KC03,1
177,KC04,1
177,KC05,1
177,KC06,1
177,KC07,1
177,KC08,1
177,KC09,1
177,KC10,0
177,KC11,1
177,KC12,1
177,KC13,1
177,KC16,1
177,KC17,1
177,KC19,1
177,KC20,0
177,KC21,1
177,KC22,1
177,KC23,1
177,KC24,1
177,KC26,1
177,KC27,1
177,KC28,1
177,KC29,1
177,KC30,1
177,KC31,1
177,KC32,1
177,KC33,0
177,KC34,1
177,KC35,1
178,KC01,0
178,KC02,1
178,KC03,1
178,KC04,1
178,KC05,1
178,KC06,1
178,KC07,1
178,KC08,1
178,KC09,1
178,KC10,1
178,KC11,1
178,KC12,0
178,KC13,1
178,KC16,1
178,KC17,1
178,KC19,1
178,KC20,1
178,KC21,1
178,KC22,1
178,KC23,1
178,KC24,1
178,KC26,1
178,KC27,1
178,KC28,1
178,KC29,1
178,KC30,1
178,KC31,1
178,KC32,1
178,KC33,1
178,KC34,1
178,KC35,0
208,KC01,1
208,KC02,1
208,KC03,1
208,KC04,1
208,KC05,1
208,KC06,0
208,KC07,1
208,KC08,1
208,KC09,1
208,KC10,1
208,KC11,0
208,KC12,1
208,KC13,1
208,KC16,0
208,KC17,1
